63,duckduckgo.com,200
77,coinmarketcap.com,200
28,github.com,200
61,apple.com,200
68,getadblock.com,200
44,fandom.com,200
95,bbc.com,200
30,twitch.tv,200
99,hotstar.com,200
81,google.cn,200
65,google.co.in,200
38,canva.com,403
90,nytimes.com,200
85,wordpress.com,200
2,youtube.com,200
49,myshopify.com,404
1,google.com,200
11,twitter.com,200
18,google.com.hk,200
75,adobe.com,200
74,pikiran-rakyat.com,200
96,merdeka.com,200
97,freepik.com,200
33,live.com,200
62,office.com,200
67,telegram.org,200
70,spotify.com,200
98,cnn.com,200
83,tribunnews.com,200
42,yahoo.co.jp,200
47,naver.com,200
17,bing.com,200
84,t.me,200
8,instagram.com,200
14,linkedin.com,200
23,weibo.com,200
3,facebook.com,200
100,ok.ru,200
86,etsy.com,200
26,yandex.ru,200
52,zoom.us,200
57,sogou.com,200
5,yahoo.com,200
45,paypal.com,200
20,sohu.com,200
55,mail.ru,200
51,ebay.com,200
64,pinterest.com,200
76,discord.com,200
22,sina.com.cn,200
24,jd.com,200
43,t.co,200
9,wikipedia.org,200
25,whatsapp.com,200
72,flipkart.com,200
60,quora.com,429
80,amazon.co.jp,200
39,stackoverflow.com,200
4,baidu.com,200
10,amazon.com,200
88,alibaba.com,200
89,jianshu.com,200
35,tiktok.com,200
69,msn.com,200
31,vk.com,200
13,taobao.com,200
12,zhihu.com,200
48,1688.com,200
